Country,Happiness Rank,happiness_score,GDP per Capita,Health (Life Expectancy),Freedom,Trust (Government Corruption),Year,code
Switzerland,1,7.587000000000001,1.3965100000000001,0.9414299999999999,0.66557,0.41978000000000004,2015,CHE
Iceland,2,7.561,1.3023200000000001,0.94784,0.6287699999999999,0.14145,2015,ISL
Denmark,3,7.527,1.32548,0.87464,0.6493800000000001,0.48357,2015,DNK
Norway,4,7.522,1.459,0.88521,0.66973,0.36503,2015,NOR
Canada,5,7.4270000000000005,1.32629,0.9056299999999999,0.63297,0.32957,2015,CAN
Finland,6,7.406000000000001,1.29025,0.8891100000000001,0.64169,0.41372,2015,FIN
Netherlands,7,7.377999999999999,1.32944,0.89284,0.6157600000000001,0.31814000000000003,2015,NLD
Sweden,8,7.364,1.33171,0.9108700000000001,0.6598,0.43843999999999994,2015,SWE
New Zealand,9,7.2860000000000005,1.2501799999999998,0.9083700000000001,0.6393800000000001,0.42922,2015,NZL
Australia,10,7.284,1.33358,0.93156,0.6512399999999999,0.35636999999999996,2015,AUS
Israel,11,7.278,1.2285700000000002,0.9138700000000001,0.41318999999999995,0.07785,2015,ISR
Costa Rica,12,7.226,0.95578,0.8602700000000001,0.63376,0.10583,2015,CRI
Austria,13,7.2,1.33723,0.8904200000000001,0.62433,0.18675999999999998,2015,AUT
Mexico,14,7.187,1.02054,0.8144399999999999,0.48181,0.21311999999999998,2015,MEX
United States,15,7.119,1.3945100000000001,0.86179,0.54604,0.1589,2015,USA
Brazil,16,6.983,0.98124,0.69702,0.49049,0.17521,2015,BRA
Luxembourg,17,6.946000000000001,1.5639100000000001,0.91894,0.61583,0.37798000000000004,2015,LUX
Ireland,18,6.94,1.33596,0.89533,0.6177699999999999,0.28703,2015,IRL
Belgium,19,6.937,1.30782,0.8966700000000001,0.5845,0.2254,2015,BEL
United Arab Emirates,20,6.901,1.42727,0.80925,0.64157,0.38583,2015,UAE
United Kingdom,21,6.867000000000001,1.26637,0.90943,0.59625,0.32066999999999996,2015,GBR
Oman,22,6.853,1.36011,0.76276,0.63274,0.32524000000000003,2015,OMN
Venezuela,23,6.81,1.04424,0.7205199999999999,0.42908,0.11069000000000001,2015,VEN
Singapore,24,6.797999999999999,1.52186,1.02525,0.54252,0.4921,2015,SGP
Panama,25,6.7860000000000005,1.0635299999999999,0.79661,0.5421,0.0927,2015,PAN
Germany,26,6.75,1.32792,0.89186,0.6147699999999999,0.21843,2015,DEU
Chile,27,6.67,1.10715,0.85857,0.44132,0.12869,2015,CHL
Qatar,28,6.611000000000001,1.69042,0.79733,0.6404,0.52208,2015,QAT
France,29,6.575,1.27778,0.9457899999999999,0.55011,0.20646,2015,FRA
Argentina,30,6.574,1.05351,0.78723,0.44974,0.08484,2015,ARG
Czech Republic,31,6.505,1.17898,0.84483,0.46363999999999994,0.02652,2015,CZE
Uruguay,32,6.485,1.06166,0.8116,0.6036199999999999,0.24558000000000002,2015,URY
Colombia,33,6.477,0.91861,0.69077,0.53466,0.0512,2015,COL
Thailand,34,6.455,0.9669,0.7385,0.5566399999999999,0.031869999999999996,2015,THA
Saudi Arabia,35,6.4110000000000005,1.39541,0.72025,0.31048000000000003,0.32524000000000003,2015,SAU
Spain,36,6.329,1.23011,0.95562,0.45951000000000003,0.06398,2015,ESP
Malta,37,6.3020000000000005,1.2074,0.88721,0.60365,0.13585999999999998,2015,MLT
Taiwan,38,6.297999999999999,1.29098,0.8753,0.3974,0.08129,2015,TWN
Kuwait,39,6.295,1.5542200000000002,0.72492,0.55499,0.25609,2015,KWT
Suriname,40,6.269,0.99534,0.6082,0.5965699999999999,0.13633,2015,SUR
Trinidad and Tobago,41,6.167999999999999,1.21183,0.61483,0.55884,0.0114,2015,TTO
El Salvador,42,6.13,0.76454,0.67737,0.4035,0.11775999999999999,2015,SLV
Guatemala,43,6.122999999999999,0.74553,0.64425,0.57733,0.09472,2015,GTM
Uzbekistan,44,6.002999999999999,0.63244,0.59772,0.6582100000000001,0.30826,2015,UZB
Slovakia,45,5.995,1.1689100000000001,0.7890199999999999,0.31751,0.03431,2015,SVK
Japan,46,5.987,1.27074,0.99111,0.49615,0.1806,2015,JPN
South Korea,47,5.984,1.24461,0.9653799999999999,0.33208000000000004,0.07857,2015,KOR
Ecuador,48,5.975,0.8640200000000001,0.79075,0.48573999999999995,0.1809,2015,ECU
Bahrain,49,5.96,1.32376,0.74716,0.45492,0.306,2015,BHR
Italy,50,5.9479999999999995,1.25114,0.9544600000000001,0.26236,0.02901,2015,ITA
Bolivia,51,5.89,0.68133,0.5392,0.57414,0.08800000000000001,2015,BOL
Moldova,52,5.888999999999999,0.59448,0.61826,0.32818,0.01615,2015,MDA
Paraguay,53,5.877999999999999,0.75985,0.66098,0.53899,0.08242000000000001,2015,PRY
Kazakhstan,54,5.855,1.1225399999999999,0.64368,0.51649,0.08454,2015,KAZ
Slovenia,55,5.848,1.18498,0.8733700000000001,0.60855,0.03787,2015,SVN
Lithuania,56,5.832999999999999,1.14723,0.73128,0.21341999999999997,0.01031,2015,LTU
Nicaragua,57,5.827999999999999,0.59325,0.7431399999999999,0.55475,0.19317,2015,NIC
Peru,58,5.824,0.9001899999999999,0.73017,0.41496000000000005,0.05989,2015,PER
Belarus,59,5.813,1.0319200000000002,0.7360800000000001,0.37938,0.1909,2015,BLR
Poland,60,5.791,1.12555,0.77903,0.53122,0.04212,2015,POL
Malaysia,61,5.77,1.12486,0.7239399999999999,0.5302399999999999,0.10500999999999999,2015,MYS
Croatia,62,5.7589999999999995,1.08254,0.78805,0.25883,0.0243,2015,HRV
Libya,63,5.754,1.13145,0.7038,0.41668,0.11023,2015,LBY
Russia,64,5.716,1.13764,0.6692600000000001,0.36679,0.03005,2015,RUS
Jamaica,65,5.709,0.81038,0.6874100000000001,0.50442,0.02299,2015,JAM
North Cyprus,66,5.695,1.2080600000000001,0.92356,0.49027,0.1428,2015,NCY
Cyprus,67,5.689,1.20813,0.92356,0.40671999999999997,0.06146,2015,CYP
Algeria,68,5.605,0.93929,0.61766,0.28579,0.17382999999999998,2015,DZA
Kosovo,69,5.5889999999999995,0.80148,0.63132,0.24749000000000002,0.04741,2015,KOS
Turkmenistan,70,5.547999999999999,0.95847,0.53886,0.4761,0.30844,2015,TKM
Mauritius,71,5.477,1.0076100000000001,0.7095,0.56066,0.07521,2015,MUS
Hong Kong,72,5.474,1.38604,1.01328,0.59608,0.37124,2015,HKG
Estonia,73,5.428999999999999,1.15174,0.77361,0.44888,0.15184,2015,EST
Indonesia,74,5.399,0.8282700000000001,0.63793,0.46611,0.0,2015,IDN
Vietnam,75,5.36,0.63216,0.7467600000000001,0.59444,0.10440999999999999,2015,VNM
Turkey,76,5.332000000000001,1.06098,0.73172,0.22815,0.15746,2015,TUR
Kyrgyzstan,77,5.2860000000000005,0.47428000000000003,0.65088,0.43477,0.042319999999999997,2015,KGZ
Nigeria,78,5.268,0.65435,0.16007000000000002,0.34334000000000003,0.0403,2015,NGA
Bhutan,79,5.252999999999999,0.77042,0.57407,0.5320600000000001,0.15445,2015,BTN
Azerbaijan,80,5.212000000000001,1.02389,0.64045,0.3703,0.16065,2015,AZE
Pakistan,81,5.194,0.59543,0.51466,0.12102,0.10464000000000001,2015,PAK
Jordan,82,5.192,0.9019799999999999,0.69639,0.40660999999999997,0.14293,2015,JOR
Montenegro,82,5.192,0.9743799999999999,0.72521,0.1826,0.14296,2015,MNE
China,84,5.14,0.89012,0.81658,0.5169699999999999,0.02781,2015,CHN
Zambia,85,5.129,0.47038,0.29924,0.48827,0.12468,2015,ZMB
Romania,86,5.124,1.04345,0.7689,0.35068,0.006490000000000001,2015,ROU
Serbia,87,5.122999999999999,0.92053,0.74836,0.20107,0.02617,2015,SRB
Portugal,88,5.102,1.15991,0.8751899999999999,0.51469,0.01078,2015,PRT
Latvia,89,5.098,1.11312,0.72437,0.29671,0.06332,2015,LVA
Philippines,90,5.073,0.70532,0.58114,0.62545,0.12279000000000001,2015,PHL
Somaliland region,91,5.0569999999999995,0.18847,0.43873,0.46581999999999996,0.39928,2015,ISO
Morocco,92,5.013,0.7347899999999999,0.60954,0.41691000000000006,0.08546000000000001,2015,MAR
Macedonia,93,5.007,0.91851,0.73545,0.33457,0.053270000000000005,2015,MKD
Mozambique,94,4.971,0.08308,0.09131,0.34037,0.15603,2015,MOZ
Albania,95,4.959,0.8786700000000001,0.81325,0.35733000000000004,0.06412999999999999,2015,ALB
Bosnia and Herzegovina,96,4.949,0.8322299999999999,0.79081,0.09245,0.00227,2015,BIH
Lesotho,97,4.898,0.37545,0.07612000000000001,0.31767,0.12504,2015,LSO
Dominican Republic,98,4.885,0.8953700000000001,0.66825,0.57672,0.14234000000000002,2015,DOM
Laos,99,4.876,0.5906600000000001,0.54909,0.59591,0.24249,2015,LAO
Mongolia,100,4.874,0.82819,0.60268,0.43626000000000004,0.026660000000000003,2015,MNG
Swaziland,101,4.867,0.71206,0.07566,0.30658,0.0306,2015,SWZ
Greece,102,4.857,1.15406,0.88213,0.07699,0.013969999999999998,2015,GRC
Lebanon,103,4.8389999999999995,1.0256399999999999,0.83947,0.33916,0.04582,2015,LBN
Hungary,104,4.8,1.12094,0.75905,0.32111999999999996,0.02758,2015,HUN
Honduras,105,4.788,0.59532,0.6951,0.40148,0.06825,2015,HND
Tajikistan,106,4.7860000000000005,0.39047,0.5737899999999999,0.47216,0.15072,2015,TJK
Tunisia,107,4.739,0.88113,0.73793,0.26268,0.06358,2015,TUN
Palestinian Territories,108,4.715,0.59867,0.66015,0.24499,0.12905,2015,PSE
Bangladesh,109,4.694,0.39753,0.60164,0.4082,0.12569,2015,BGD
Iran,110,4.686,1.0088,0.69805,0.30033000000000004,0.058629999999999995,2015,IRN
Ukraine,111,4.681,0.79907,0.6739,0.25123,0.02961,2015,UKR
Iraq,112,4.677,0.98549,0.60237,0.0,0.13788,2015,IRQ
South Africa,113,4.6419999999999995,0.9204899999999999,0.27688,0.33207,0.08884,2015,ZAF
Ghana,114,4.633,0.5455800000000001,0.40131999999999995,0.42341999999999996,0.04355,2015,GHA
Zimbabwe,115,4.61,0.271,0.33475,0.25861,0.08079,2015,ZWE
Liberia,116,4.571000000000001,0.0712,0.34201,0.28531,0.06232000000000001,2015,LBR
India,117,4.565,0.64499,0.5152899999999999,0.39786,0.08492000000000001,2015,IND
Sudan,118,4.55,0.52107,0.36878,0.10081,0.1466,2015,SDN
Haiti,119,4.518,0.26673,0.38847,0.24425,0.17175,2015,HTI
Congo (Kinshasa),120,4.5169999999999995,0.0,0.09806000000000001,0.22605,0.07625,2015,COD
Nepal,121,4.513999999999999,0.35996999999999996,0.5687399999999999,0.38282,0.059070000000000004,2015,NPL
Ethiopia,122,4.512,0.19072999999999998,0.44055,0.4345,0.15048,2015,ETH
Sierra Leone,123,4.507,0.33024000000000003,0.0,0.4084,0.08786000000000001,2015,SLE
Mauritania,124,4.436,0.45407,0.35874,0.24231999999999998,0.17461,2015,MRT
Kenya,125,4.419,0.36471,0.41435,0.42215,0.05839,2015,KEN
Djibouti,126,4.369,0.44025,0.36291,0.46074,0.28105,2015,DJI
Armenia,127,4.35,0.7682100000000001,0.7299,0.19847,0.039,2015,ARM
Botswana,128,4.332,0.99355,0.047760000000000004,0.49495,0.12474,2015,BWA
Myanmar,129,4.3069999999999995,0.27108000000000004,0.48246000000000006,0.44017,0.19034,2015,MMR
Georgia,130,4.297,0.7419,0.72926,0.40576999999999996,0.38331,2015,GEO
Malawi,131,4.292,0.016040000000000002,0.22562,0.43054,0.06977,2015,MWI
Sri Lanka,132,4.271,0.83524,0.70806,0.5372600000000001,0.09179,2015,LKA
Cameroon,133,4.252,0.4225,0.23401999999999998,0.49309,0.05786,2015,CMR
Bulgaria,134,4.218,1.01216,0.76649,0.30587,0.00872,2015,BGR
Egypt,135,4.194,0.8818,0.61712,0.17288,0.06324,2015,EGY
Yemen,136,4.077,0.5464899999999999,0.40064,0.35570999999999997,0.07854,2015,YEM
Angola,137,4.033,0.75778,0.16683,0.10384000000000002,0.07122,2015,AGO
Mali,138,3.995,0.26074,0.20583,0.38856999999999997,0.12352,2015,MLI
Congo (Brazzaville),139,3.989,0.67866,0.31051,0.41466000000000003,0.11685999999999999,2015,COG
Comoros,140,3.9560000000000004,0.23906,0.36315,0.22916999999999998,0.19899999999999998,2015,COM
Uganda,141,3.931,0.21101999999999999,0.33860999999999997,0.45726999999999995,0.07267,2015,UGA
Senegal,142,3.904,0.36498,0.4354,0.36772,0.10712999999999999,2015,SEN
Gabon,143,3.8960000000000004,1.06024,0.43372,0.31914000000000003,0.11091,2015,GAB
Niger,144,3.845,0.0694,0.29707,0.47691999999999996,0.15639,2015,NER
Cambodia,145,3.819,0.46038,0.61114,0.66246,0.07247,2015,KHM
Tanzania,146,3.781,0.2852,0.38215,0.32878,0.05747000000000001,2015,TZA
Madagascar,147,3.681,0.20824,0.46721,0.19184,0.08123999999999999,2015,MDG
Central African Republic,148,3.678,0.0785,0.06699,0.48878999999999995,0.08288999999999999,2015,CAF
Chad,149,3.667,0.34193,0.1501,0.23501,0.05269,2015,TCD
Guinea,150,3.656,0.17417,0.24009,0.37725,0.12139000000000001,2015,GIN
Ivory Coast,151,3.655,0.46534,0.15185,0.46866,0.17922000000000002,2015,CIV
Burkina Faso,152,3.5869999999999997,0.25811999999999996,0.27125,0.39493,0.12832000000000002,2015,BFA
Afghanistan,153,3.575,0.31982,0.30335,0.23414000000000001,0.09719,2015,AFG
Rwanda,154,3.465,0.22208000000000003,0.42863999999999997,0.59201,0.55191,2015,RWA
Benin,155,3.34,0.28665,0.3191,0.4845,0.0801,2015,BEN
Syria,156,3.0060000000000002,0.6632,0.7219300000000001,0.15684,0.18905999999999998,2015,SYR
Burundi,157,2.905,0.0153,0.22396,0.1185,0.10062,2015,BDI
Togo,158,2.839,0.20868,0.28443,0.36453,0.10730999999999999,2015,TGO
